disease,symptoms,symptom_count,remedy_1,remedy_2,risk_level,recommendation,data_note
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",4,Wash with soap and water,Use coconut oil,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Allergy,"continuous_sneezing, shivering, chills, watering_from_eyes",4,Use oral Antihistamines,Use Cortocosteroid nasal sprays,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",6,Use antacids tablets,Eat smaller meals,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",7,Immediately consult a doctor,,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",5,Don’t consume the drug anymore,Meet clinician,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",6,Use multivitamin tablets,Avoid alcohol,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
AIDS,"muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts",4,Never share needles,Take medicine daily to prevent HIV,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",10,Eat healthy,Exercise 5 days a week,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Gastroenteritis,"vomiting, sunken_eyes, dehydration, diarrhoea",4,Drink plenty of fluids to avoid dehydration,Take Paracetemol,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Bronchial Asthma,"fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum",6,Oxygen therapy,Quit tobacco,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Hypertension,"headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration",5,Physical exercise,Stress management,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",9,Avoid migrane triggers,Drink caffeinated fuilds,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance",5,Icepacks,Warm compress,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
